,Crypto,Price,Day,%,Weekly,Monthly,YoY,MarketCap,Date
0,Bitcoin,45617.0,1672.2,-3.54%,3.90%,3.93%,-22.33%,"$862,087M",Apr/01
1,Ether,3304.04,109.69,-3.21%,6.34%,11.75%,67.88%,"$390,694M",Apr/01
2,Tether,1.0,0.0,0.01%,-0.01%,0.00%,0.07%,"$78,005M",Apr/01
3,Binance,429.87,12.89,-2.91%,5.89%,5.94%,"1,425.66%","$72,196M",Mar/31
4,USD Coin,1.0,0.0,0.06%,0.07%,0.04%,0.03%,"$50,637M",Mar/31
5,Solana,124.5718,0.3818,0.31%,26.11%,22.53%,218.35%,"$38,113M",Apr/01
6,Ripple,0.82787,0.0332,-3.86%,-2.25%,5.83%,45.22%,"$38,848M",Apr/01
7,Terra,103.84,2.16,-2.04%,10.55%,15.03%,63.50%,"$40,392M",Apr/01
8,Polkadot,21.59,0.04,0.20%,4.11%,14.91%,-47.33%,"$20,912M",Apr/01
9,Avalanche,97.07,1.16,1.21%,10.88%,11.51%,-21.38%,"$23,665M",Apr/01
10,Shiba,2e-05,0.0,0.00%,-33.33%,0.00%,-60.00%,"$11,258M",Mar/08
11,Polygon,1.62,0.06,-3.80%,2.87%,-0.86%,-6.26%,"$11,909M",Apr/01
12,Cosmos,29.18,1.17,-3.85%,-0.03%,-6.32%,49.67%,"$9,988M",Apr/01
13,Dai,0.99992,0.0,0.00%,0.01%,0.00%,-0.12%,"$9,734M",Apr/01
14,Cardano,1.14865,0.0104,-0.89%,4.14%,21.02%,-3.59%,"$38,522M",Apr/01
15,Litecoin,124.62,7.42,-5.62%,-1.31%,11.70%,-38.48%,"$8,597M",Apr/01
16,Uniswap,11.42,0.31,-2.63%,6.13%,10.38%,-60.16%,"$7,122M",Apr/01
17,Algorand,0.95,0.02,1.87%,6.64%,15.44%,-30.22%,"$5,978M",Apr/01
18,Bitcoin Cash,388.3,4.03,1.05%,6.44%,21.37%,-33.16%,"$7,311M",Apr/01
19,Stellar,0.22999,0.0043,-1.84%,7.72%,18.00%,-47.67%,"$5,660M",Apr/01
20,Monero,213.32,5.69,-2.60%,9.28%,20.03%,-13.26%,"$4,026M",Mar/31
21,Chainlink,17.069,0.019,0.11%,9.00%,10.05%,-47.44%,$705M,Apr/01
